genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
H2-T22,1170.8306475106274,-0.3742443480981464,0.04421696342576694,1.4756825501409916e-18,4.951691630749416e-16
Gm50237,96.85917051345218,-2.003595248946512,0.2377241128343699,1.47149647768258e-18,4.951691630749416e-16
Tapbp,1023.7364848010284,-0.2037753237773134,0.025296344969623186,9.419032550430538e-18,3.0795406166805075e-15
Gbp7,868.1106306532524,-0.44264989233546836,0.05393481042509503,1.0256675563602128e-17,3.269571752787268e-15
Trafd1,187.92359714618414,-0.43600437369937867,0.05468565614574808,7.038711124048428e-17,2.189039159579061e-14
Psmb8,3525.715926902904,-0.20358498696991578,0.026186142263296245,8.309374827397594e-17,2.5226866291463502e-14
Gm4070,226.36626831679413,-0.5158972687232876,0.06487532155318629,8.705895103680483e-17,2.5816015922565078e-14
Tgtp1,33.783198129000915,-1.0706090627153775,0.13934498526230457,1.3068131426334558e-16,3.7870850867543626e-14
Olfr56,52.61938052985711,-0.7455943130007717,0.09742159416966471,2.949218131938925e-16,8.356773422300719e-14
Nlrc5,450.0115750313072,-0.3712328156310148,0.04765320170865814,3.9170328205282363e-16,1.0857844672729466e-13
H2-Q7,3443.0386145920315,-0.3363739824632169,0.043112164480607375,4.801628296308084e-16,1.3026715405579658e-13
Il2rb,2121.554162906833,-0.3281135309009199,0.0420312873104211,5.030951156801947e-16,1.3364512125079507e-13
Ifit1bl1,262.06471480045377,-0.6534939354633404,0.08574456285256613,7.777070865606654e-16,2.0237842981091926e-13
H2-T23,2013.1662544299757,-0.30436238708284646,0.03954560971334466,1.4642929776287352e-15,3.7342399515488006e-13
Ipcef1,521.8895057655478,-0.3164827142486624,0.042319084262164096,7.017085473452104e-15,1.7544089582742703e-12
Dtx3l,401.0465051989243,-0.3938038272976653,0.05347455247930782,9.13616523777719e-15,2.240293133594172e-12
Ube2l6,134.86596127831368,-0.761543335253111,0.10961537834146896,4.8812468683315784e-14,1.1743543173225653e-11
Emb,494.2240676820009,0.42427748669629656,0.05976652315523762,5.811708657101508e-14,1.3723166127166911e-11
9330175E14Rik,68.23227241237146,-0.5731698236947289,0.08126541196409752,7.402160023050662e-14,1.7160898627985272e-11
Gng12,103.39288465954854,-0.5831886247012827,0.08396559725933801,1.5345281195608604e-13,3.4940657236643806e-11
Cxcr3,1045.2226127486636,-0.8108184251722549,0.12207855036652038,2.924602574332431e-13,6.542387267598741e-11
Snw1,709.7098978265675,-0.19079526232379437,0.029844420049568374,5.657044716110629e-13,1.243672020260804e-10
Serpina3f,78.42072160335017,-1.703865637243899,0.2525520986921326,7.361921246881545e-13,1.591048437609942e-10
H2-M3,292.5492086389126,-0.3096319365601854,0.04572762983212183,1.1461350059855443e-12,2.4357279102202796e-10
Entpd1,292.48250655682926,-0.3643435188665909,0.05443073783706663,1.3216811931758704e-12,2.7627470318336924e-10
Gimap4,3998.2713026296537,-0.23698237429434055,0.03572732473741882,1.3649528673517103e-12,2.80717967929059e-10
Npc2,1521.8575859017287,-0.21882182426825494,0.03369670747865337,1.5038814114942165e-12,3.0438082345972626e-10
Gimap7,1894.2784177400185,-0.2479030960992582,0.03719091047995404,1.536993152739626e-12,3.062218701653589e-10
Ccr4,244.16299521259998,0.44039219621390624,0.06670654358196472,1.8137126633282276e-12,3.5579461800151124e-10
Il9r,17.98917287275418,1.2721044780092936,0.19911960012448762,3.1065075835790945e-12,6.001678514881368e-10
Gbp9,286.41753205399635,-0.4000746090319428,0.06262221072809693,8.289797845338085e-12,1.5776598854612823e-9
Samhd1,3176.459670837635,-0.3649345302205386,0.05774462793132723,1.5497287506074174e-11,2.9059693086757617e-9
Ifi214,183.7918462838759,-0.43087952025525356,0.0690760890576166,1.996930568925794e-11,3.6902698093293915e-9
C1qtnf6,117.37913256234904,-0.7030215816472086,0.11620059323564547,2.757811515994756e-11,5.023550662921305e-9
Parp14,324.72194462319106,-0.29438479276573726,0.047041684453805445,3.1708653510829895e-11,5.694606210092845e-9
Cpq,63.91339577604066,-0.5374801338607949,0.08779234905467526,3.741546207457885e-11,6.626174401568819e-9
Trat1,573.5061905884297,0.29383360878004966,0.04729421470077331,4.1566600735858245e-11,7.260489397026418e-9
Wars,205.78562954762188,-0.384151520352207,0.0626056991137105,4.4446292796406435e-11,7.556462392626378e-9
Glrx,1411.164922455341,-0.495691338967329,0.08125006861901782,4.423348696269623e-11,7.556462392626378e-9
Parp9,309.62743375783145,-0.2698051918416652,0.0440694034436092,6.104317375255361e-11,1.0241598796300145e-8
Fgl2,219.0617788819999,-0.7163915995491114,0.12280655537785583,9.22889504190981e-11,1.5282810477843116e-8
Stat2,183.6554352072557,-0.3638168647005344,0.06089530395968039,1.3230737810902086e-10,2.108814222835156e-8
H2-Q4,1327.302290812537,-0.30932283857302406,0.05140165761575226,1.3086383459152947e-10,2.108814222835156e-8
Cd274,187.80466186427873,-0.38787400030900304,0.06512896470674026,1.318959276320877e-10,2.108814222835156e-8
mt-Co3,11826.713951190857,0.09165040688183407,0.015437843776676615,1.5435292717446173e-10,2.4298199683969894e-8
Tmbim6,1813.0721158122471,-0.12939172449247816,0.024106771474608976,2.142826653511229e-10,3.3320954462099615e-8
H2-D1,11695.598718994897,-0.1418541793369361,0.02725020716817164,2.887065662053994e-10,4.435298103234997e-8
Sdc4,42.368776933342545,0.837688768948882,0.15237232909549706,3.227360896387944e-10,4.899056998790794e-8
H2-K1,15814.731802005474,-0.1964647874187378,0.03703314513457658,4.3653480446317373e-10,6.548535637305798e-8
