genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Art2b,305.0465009989005,0.4267213121386539,0.06770289753019078,2.1245531900033165e-11,2.6141594391068736e-9
Ctnna1,83.9976144764922,-0.4358542451769386,0.0690440816483727,2.133926304428101e-11,2.6141594391068736e-9
Dst,111.6419055704447,-0.5894881896002263,0.09437746064346686,3.087902837332363e-11,3.684479256488531e-9
Ccr7,342.9896163457949,-0.8331732902091833,0.14010913650899093,3.09332623422195e-11,3.684479256488531e-9
Batf,662.8850048079946,0.3303149317114258,0.05454020776020053,3.120057960560169e-11,3.684479256488531e-9
Arhgap39,17.911655251126582,-1.144970006175667,0.1965964921515155,3.06183815891207e-11,3.684479256488531e-9
Gm19585,621.8836621116884,0.42806700760959876,0.06869236775471713,3.327939684468976e-11,3.894877980716012e-9
H13,687.3987683686063,0.16198663692089063,0.026796733743665545,4.043187894365853e-11,4.69009795746439e-9
Rpa1,391.69522440020387,-0.20335821277579494,0.03397067489378587,5.122889092483484e-11,5.8904237038836415e-9
Itgb3,156.061834666611,0.5845437612614097,0.09481845625453347,5.241971898537233e-11,5.974936317045743e-9
Fermt3,1101.9994059809576,0.13502896569132042,0.022651409070519612,5.6471900238189874e-11,6.381324726915456e-9
Epsti1,1776.8624226101967,0.31992596751068436,0.0542701600929171,7.277964981278028e-11,8.153808972187384e-9
Mmp11,7.705126624910903,-1.7281247420386312,0.2912936357868497,7.57150938669336e-11,8.410791952608182e-9
Cd86,51.63346031783788,-0.6934866377498384,0.11598448726766351,7.69586295389694e-11,8.47709005039337e-9
Apol9a,5.1633076742566715,-2.0413894336274443,0.3479248088547974,8.57586717789917e-11,9.367705580658527e-9
Metrnl,34.35110856317705,0.8910622490409521,0.1565746468331575,9.960923312677712e-11,1.0790725849799955e-8
Tbxa2r,157.94881923508018,0.3071549751613373,0.05291807907331378,1.0903709771527771e-10,1.1715231777474264e-8
Ms4a6d,61.282945060172445,0.4444674301379644,0.07396703149629492,1.4093950441532736e-10,1.5019796942082203e-8
Mical3,45.30290158066674,-0.5033178797978257,0.08379172117456897,1.6899109426962888e-10,1.7863994061986253e-8
Armc2,18.370665446715886,0.9978170205066461,0.18096488487612744,1.870595993290981e-10,1.9615817824046544e-8
Nedd4,11.98070404129611,1.320831419237025,0.2370502777055515,2.2228261272163355e-10,2.312444831392994e-8
Wipf1,622.4845789197411,0.18522445574998223,0.03230287720616374,2.557326644951451e-10,2.6351677006720978e-8
Plp2,320.440385535206,-0.25183105340758116,0.04471935260329318,2.5732488990389724e-10,2.6351677006720978e-8
Endod1,147.8637432226105,-0.48260252316819724,0.08140440416364367,2.6090405424380086e-10,2.651108793044761e-8
Ugcg,141.08871677050786,0.2797320881911473,0.049875621734435625,2.8610917541186533e-10,2.8848608240759467e-8
Smpdl3a,701.8712736785868,-0.1736391210191954,0.0303938292261111,2.947183261682337e-10,2.948983068254357e-8
Igf2r,261.5642282922802,-0.38793827822032034,0.06708429860611405,3.2142836429635344e-10,3.191881059997425e-8
Anp32a,1348.3994404918776,-0.14687657503409962,0.02601927974943692,3.8810241113576325e-10,3.824997297118485e-8
Rcan3,76.63982096562405,-0.4278063188256566,0.0738096353827049,4.3031588619111784e-10,4.209388534472517e-8
Prkch,1224.6718867673092,-0.24115618647857517,0.043511872471834336,4.569113604105511e-10,4.4364400831566696e-8
Gmfg,1995.656261700625,0.18912992926205047,0.03383166668687049,5.624818504759175e-10,5.403708922430385e-8
Jpt1,1105.3485378030443,-0.14530874397318427,0.02605212957933731,5.647758028478507e-10,5.403708922430385e-8
Lrmp,290.5273550393882,0.18067237995916322,0.03270926666364807,8.417182072446203e-10,7.995103087364118e-8
Casp4,182.2778774292844,0.3013414310926981,0.055450627394068384,8.625704533299134e-10,8.134225541185974e-8
Ky,4.390406208036629,-1.9965863110971767,0.3674052721915362,9.353694133628357e-10,8.757730193114322e-8
Pole4,317.1433182447353,-0.19690350987801605,0.036077167198464016,1.1030418506391965e-9,1.0182163787449711e-7
Med7,73.28778675926762,-0.46656989667667487,0.08235711351678236,1.0988188949332962e-9,1.0182163787449711e-7
Ankrd12,609.7149554069762,-0.24614348683362747,0.04607369200926151,1.3374138855845477e-9,1.225931553303654e-7
Ptp4a2,1185.6654726121442,0.12589534494126206,0.02335520284273843,1.6002824142317586e-9,1.4466553024655098e-7
Itpr1,241.84088286219676,0.32437319872409626,0.060502196230278416,1.5893236191875292e-9,1.4466553024655098e-7
Abcb9,177.86806291643668,0.3613820930531906,0.06715350104579379,2.156803201868893e-9,1.9363956417874967e-7
