genes,LD1,LD2,LD3
Rrs1,0.006936587841740608,0.013329035785816554,-0.041313489516337634
Tram1,0.003320527052279523,0.0043843477627392175,0.008034867179372294
Rpl7,0.013984230296931214,-0.021588184354738166,0.09264195920200094
Mcm3,-0.019254442999680346,-0.014232873398253226,0.03561399719684701
Dst,0.002412889175388153,-0.014415747723661202,0.02648624783211614
Kansl3,0.014957742109253888,-8.201786935668225e-4,-0.006159365920010656
Pdcl3,-0.007209599517629924,-0.013879177067971777,-0.007597870928769721
Rpl31,0.05687486238059711,0.0040437265975514156,-0.022920568656351083
Nemp2,0.027763791653245787,0.022631085344498914,0.010495177050475025
Mob4,-0.006206422204343008,0.009169537883370231,0.007375719011163308
Clk1,0.017290722472640904,0.007063688968465014,0.0069487383195060495
Nif3l1,0.0012549908107872994,-0.02917884477583788,0.006261211083415345
Orc2,-0.005980204356219379,0.01015680563261047,0.013048785243132872
Ndufb3,0.006219623312027439,-0.006150655401916148,-0.04155657201318981
Casp8,0.033491654577996924,-0.011536807618580567,0.005752778837188941
Wdr12,0.012944128800675777,0.012129960703843052,-0.03238335568425573
Acadl,-0.008795212758841988,-0.026014915749900256,-0.003717953022400892
Atic,-0.007035418532920545,-0.020908948499552587,0.016671597656640686
Xrcc5,-0.00980172032660423,0.00857248625065708,-0.046042150954439476
Arpc2,0.011330443950034824,-0.003142803046809009,0.002222670898868796
Cnot9,0.012462815518001078,-0.012094223644194647,-0.02416864101923532
Rnf25,-6.816100324756726e-4,-0.027117153341145332,-0.004960023878092986
Stk16,-0.004164100839716681,-0.013099162042261251,-0.02203540436816418
Sp100,-0.015046053756945194,0.012000160977606422,0.028864657189909514
Cab39,-0.010087261498008275,-0.0026716336722382534,-0.007337865274020943
Itm2c,0.03117450255003022,-0.010385549249479323,0.019862389497663915
Psmd1,-0.003148422492647854,-0.036069541939564985,0.05548793673125099
Cops7b,0.0020673983108243908,0.003116712713876555,-0.02565038220432995
Gigyf2,-0.011677275527847227,-0.01996637601459604,0.006396555031448449
Atg16l1,0.016220681944239045,0.002185866364187067,-0.015791531623166155
Cops8,0.012892672929959135,0.018040610984414167,0.04654736186750304
Dtymk,0.0058410688251067855,-0.009869632223407539,-0.007937790003350252
Fam174a,-0.02145786225538626,0.013884560711810861,0.03911221545243325
St8sia4,0.010283597108135055,0.02409269933969152,0.023835945949859404
