genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Samhd1,8.107942319365445e-16,-0.31992074155116546,0.565,0.643,1.1736246507281481e-11
Rps6,1.813208017380959e-15,-0.15686995841458007,0.98,0.986,2.6246186051589383e-11
Zfp36,3.0618174730301064e-15,-0.3324115747556808,0.482,0.571,4.431980792211079e-11
2410006H16Rik,3.1944651628765948e-15,-0.36042735150310723,0.487,0.578,4.623988323263871e-11
N4bp2l1,5.5017059667157756e-15,-1.0048693225302405,0.052,0.103,7.963719386821085e-11
S100a11,5.587666690564181e-15,0.46663505904970914,0.496,0.421,8.088147534591652e-11
Gbp6,1.3728445676932869e-14,-0.7147791267530854,0.079,0.139,1.9871925117360326e-10
Psmb9,1.5722083455680976e-14,-0.36878327190389315,0.416,0.505,2.2757715802098211e-10
Rpl35a,1.8816234540997188e-14,-0.10629340971468482,1,1,2.723649949809343e-10
Cd82,2.446215630733529e-14,0.4330676328387623,0.472,0.391,3.540897125486783e-10
Gbp2,1.7569486800647756e-13,-0.8602892533712967,0.083,0.139,2.5431832143937625e-9
Ms4a6b,1.7956189029717405e-13,-0.23111583185605078,0.671,0.752,2.599158362051594e-9
Ucp2,3.493733787390438e-13,0.22373284425137707,0.896,0.87,5.057179657247659e-9
Ly75,4.5276899409944183e-13,1.1120633775073765,0.087,0.043,6.55383118958942e-9
Cd83,2.0607721951520543e-12,0.739257430108597,0.164,0.105,2.9829677524825984e-8
Rpl7a,2.4258488989978497e-12,-0.13538678930578385,0.975,0.982,3.5114162812993874e-8
Zfp36l1,4.0105727640955005e-12,0.3574964428775564,0.619,0.565,5.805304076028237e-8
Tap1,4.383373243012036e-12,-0.4240239633608416,0.27,0.345,6.344932769259922e-8
Psmb10,4.729806543001721e-12,-0.34958749481952656,0.341,0.423,6.846394970994991e-8
Psmb8,8.063494394466417e-12,-0.1895361355721017,0.823,0.866,1.1671908135990139e-7
Il2rb,9.800464864559199e-12,0.3574385560258927,0.484,0.413,1.418617289144944e-7
Rpl7,1.0889399931630689e-11,-0.11046376597677465,0.997,0.996,1.576240640103542e-7
Tiam1,1.3108027923855045e-11,0.647672920990217,0.207,0.146,1.8973870419780177e-7
Pdcd1,1.6881463896790067e-11,0.8508750666305658,0.128,0.079,2.443591899060362e-7
H2-K1,1.847274134893015e-11,-0.10872295939256338,0.994,0.998,2.6739293102576394e-7
H2-T22,3.69479847902115e-11,-0.27646248802546614,0.484,0.563,5.348220798383115e-7
Rpl22,3.908293821496152e-11,-0.10739637004680835,0.998,0.998,5.65725530661568e-7
Il1r2,4.2534579268555645e-11,2.070933501547522,0.044,0.016,6.15688034912343e-7
Gm46620,5.2269861665073725e-11,2.10264236127486,0.026,0.006,7.566062476019422e-7
Stard5,5.990741501253101e-11,-0.9127328646120558,0.045,0.084,8.671598323063864e-7
Tmem181a,7.126736412067493e-11,0.8167954962021242,0.1,0.057,1.0315950956467697e-6
S100a6,8.645604777618809e-11,0.5313916152274322,0.241,0.177,1.2514512915603225e-6
Mesd,9.908728921751704e-11,-0.856715654227794,0.055,0.097,1.4342885114235592e-6
Ly6c1,1.63710628829297e-10,-0.3887254026421775,0.197,0.264,2.3697113523040743e-6
H2-Q6,2.353159435660563e-10,-0.2980850848990775,0.34,0.418,3.406198283118665e-6
Gm15446,4.0644743863313325e-10,2.5290397227182515,0.019,0.003,5.8833266742146035e-6
Batf,4.462743309466374e-10,0.6814837576661983,0.216,0.16,6.459820940452576e-6
Naca,6.350522753060017e-10,-0.11773625534460486,0.986,0.987,9.192381685054374e-6
H2-T23,6.588537622422925e-10,-0.20975016841219685,0.682,0.741,9.536908208457184e-6
Psme2,7.732204339855658e-10,-0.2051108219348325,0.657,0.709,1.1192365781941065e-5
Dynlt1b,9.754118740144722e-10,1.2811512089378674,0.048,0.021,1.4119086876359486e-5
Myl6,1.0175188157449293e-9,0.14095673940826803,0.932,0.909,1.4728584857907852e-5
Gbp10,1.0738433018280676e-9,-1.4615615792794987,0.015,0.04,1.5543881793961278e-5
Nsa2,1.3315876860312102e-9,-0.19121680597130197,0.675,0.733,1.9274731755301768e-5
Cldnd1,1.5805001380536584e-9,0.6174371632687212,0.178,0.126,2.2877739498326704e-5
Tnfrsf18,1.7939075100621317e-9,0.3569923463576047,0.536,0.474,2.5966811208149358e-05
Ccr8,1.8270402075908485e-9,1.153071788118,0.049,0.022,2.644640700487753e-5
Psme1,1.9894472663091185e-9,-0.18290706827453718,0.705,0.769,2.879724917982449e-5
Zfas1,2.3381220741308276e-9,-0.5426854577967015,0.123,0.174,3.384431702304373e-5
Gm47283,2.4023536295924828e-9,-2.0788136179571604,0.005,0.022,3.477406878835119e-5
Cd3e,3.803006738843248e-9,0.17568972932330484,0.932,0.928,5.504852254475602e-5
Xlr3b,5.2429478266730726e-9,-3.9734606178109306,0.001,0.012,7.589166979109273e-5
Npc2,6.388703048406677e-9,-0.1894638634950892,0.564,0.632,9.247647662568665e-5
S100a10,6.97672472903938e-9,0.17715914177957104,0.799,0.772,1.0098809045284502e-4
Adam19,7.021975957538695e-9,0.6175006235316678,0.165,0.116,1.0164310198537261e-4
Hspa8,7.627751140000071e-9,-0.15160528970138265,0.893,0.915,1.1041169775150102e-4
Fth1,1.060266625591322e-8,0.12179295456120842,0.981,0.979,1.5347359405434388e-4
Ftl1,1.1215921327235842e-8,0.13901700981937037,0.931,0.907,1.6235046121173882e-4
Gm49980,1.132757576305853e-8,1.7518650607993997,0.027,0.008,1.6396665917027222e-4
Prr13,1.2530575286807938e-8,0.28168239017762087,0.411,0.342,1.8138007727654492e-4
Itm2c,1.9772636155299647e-8,0.37444150796816633,0.405,0.347,2.8620890834796237e-4
Gm4070,2.4225386739072134e-8,-0.720156366147298,0.06,0.096,3.5066247304806915e-4
Arpc1b,2.5153676505247868e-8,0.18706372362626722,0.756,0.72,3.640994674134629e-4
Camk2b,2.7742244439808384e-8,2.0453984094403843,0.022,0.006,4.015689882662264e-4
Gm4951,3.0409873292604575e-8,-2.5319509071708968,0.002,0.015,4.401829159104512e-4
Jun,3.067048575032762e-8,-0.283383559228345,0.308,0.372,4.4395528123599234e-4
Penk,3.1078395324171194e-8,1.0314506891990043,0.048,0.023,4.4985977231737806e-4
Sh3bgrl3,3.3337137603256875e-8,0.12703175009923817,0.95,0.933,4.825550668071433e-4
Cd81,3.667990771814119e-8,0.5817628262711669,0.237,0.186,5.309416642200937e-4
Hist1h1e,4.005462837317623e-8,0.5537970410970792,0.248,0.196,5.797907457017259e-4
Fosb,7.66055144421247e-8,-0.8031671589433276,0.045,0.077,0.001108864821549755
Tgtp1,8.626325803558907e-8,-1.2811948311155392,0.013,0.033,0.0012486606600651518
Cst7,8.93581454537381e-8,0.5055717354822704,0.233,0.182,0.001293459155442859
Bhlhe40,9.3976678380394e-8,0.8894514686828101,0.075,0.044,0.0013603124195562032
Klf2,9.424119091337257e-8,-0.17559925005797505,0.619,0.684,0.001364141238471068
Ly6k,1.3069557340567646e-7,-1.3827844658953818,0.01,0.028,0.0018918184250471667
Slc7a10,1.3523349661060448e-7,1.55468375091038,0.026,0.009,0.0019575048634385
Itgb1,1.4872837477119516e-7,0.3421169777256279,0.319,0.264,0.00215284322481305
Ms4a4b,1.5141926040162192e-7,-0.11928360001387195,0.864,0.91,0.0021917937943134774
Clec2d,1.8928783320054357e-7,0.2252608336447126,0.569,0.515,0.0027399413855778683
Eef1b2,2.0116194097914857e-7,-0.10828224861515645,0.966,0.978,0.0029118190956731755
Bcl2a1b,2.3130347907824137e-7,0.48235068514766866,0.212,0.164,0.0033481178596575438
H2-Q4,2.673032506965887e-7,-0.25374666864850004,0.428,0.489,0.003869214553833121
Sec11c,2.724452961113827e-7,0.31892276013961673,0.386,0.332,0.003943645661212265
Usp18,2.947624300049685e-7,-0.433257929345396,0.065,0.101,0.0042666861743219184
Fyb,4.5492427355774937e-07,0.20110040354392134,0.623,0.577,0.006585028859748422
Gm8369,5.172802040714489e-7,-0.18284661383327017,0.434,0.493,0.007487630953934223
Cebpa,5.428755258043888e-7,1.6834170650325824,0.018,0.005,0.007858123236018527
